text,label
@comcastcares message sent. thank you,General
@AppleSupport  https://t.co/JBaZau860i,General
@Uber_Support I cant switch my email or pay with my credit card. Please help! You guys do not have a phone-line that I can call in my city.,Billing
@AmazonHelp 31st oct 2017 9:35 AM. Alright #waitingforyourcall #fraudcompanyamazon,General
@115940 your live tv needs a lot of work. Buffers way too much.,Technical Issues
"@XboxSupport is that true that xb one x will support mouse,keyboard for games?",General
@hulu_support It’s every device and you guys know it.  I like your platform if it would just work!,General
@Tesco Thanks,General
"After the end of 2017, I’m going to ditch Apple once and for all. Got my first iPhone last year with the 7+ and honestly regret making the move from Android. Always have owned a MacBook, but the last two have got the same problem with a few keys not working.",Technical Issues
Hey @AmericanAir what's the deal with this shitty 4 hour window for checked bags? Seriously wrecking my plans for some reason.,Technical Issues
"@115955  The Word Network is a no charge TV station. Why is Spectrum blocking the channel? Very disappointed. Spectrum bad
11-18-17",Technical Issues
"There’s a chicken and mushroom Pot Noodle on every seat of this @VirginAtlantic flight.

Me neither ¯\_(ツ)_/¯",General
@AppleSupport 🙄 https://t.co/2gihtcfSq0,General
@Ask_Spectrum Will I be reimbursed for the inconvenience? It’s been over 24 hours,General
"@ArgosHelpers hello, I bought an xbox last month and one of the buttons doesn't work on the control? It what do I do? Everything else works",Technical Issues
@115725 what was the cause of the service outage in Rochester Mn today?,Technical Issues
@idea_cares Mere ko urgently problem solved karke chahiye,General
"@127906 @AdobeCare The key word here is ""uninformed"", devs live and breath every feature and checkbox and don't often consider this rationale",General
@AppleSupport what wrong with Apple? iOS 11 has really bricked my iPhone 6... 10 year anniy #AppleEnding,Technical Issues
"@276509 @276510 @124257 Right, this is the fourth time i am identifying myself for the same number.
How stressful can it be to own an MTN number",Technical Issues
Adobe Reader DC is making everything so difficult I should be able to look at this document no matter what fucking version I have,Technical Issues
@TMobileHelp I have a grandfathered family plan (15 years! ) Does the free Netflix apply to me?,Billing
@AppleSupport how do I turn off voicemail transcription in iOS 10.3.3?,Technical Issues
"Hello, someone called me using 0713204691 and claimed to be a saf agent and wanted to get my line details, stop this crook @Safaricom_Care",Technical Issues
@SpotifyCares Solved. Thx,General
@Tesco I can look at that as much as i like but £4 isn't going to get me anywhere!,Refund/Cancellation
@115911 do you do service discounts for first responders?,Billing
"@AppleSupport Tried all that yesterday but oddly enough out the blue it’s started working again so I won’t touch anything now. You know the saying ‘if it ain’t broke then don’t fix it’.  Thanks anyway, I hope it’s all resolved now.",General
@115830 why is it so hard to actually speak to someone. I don't want an email in 24hrs. Order not arrived on time please can someone help?,Delivery
@VirginAmerica loses 10 passengers bags to Palm Springs with zero explanation of where they ended up.. miserable #CX,Technical Issues
@115858 @applesupport what is going on? What’s that emoji for? https://t.co/Nil9VJzZzG,Technical Issues
@AldiUK Open my naan breads that I purchased last week &amp; this is the disgraceful sight which I was greeted with! Perfectly in date &amp; thick smelly mould. https://t.co/VT9ibRhvsj,Technical Issues
@DunkinDonuts I ordered a small hash brown this morning and got FOUR tiny burnt hasbrowns..... wtf https://t.co/SUJDruk110,Delivery
"@Tesco She doesn't have one, and it was me who placed the order",Delivery
@AskPapaJohns yes everything was correct and the delivery man was very nice,Delivery
"If you've got an Apple Watch (2nd generation or later), please join our new research study! https://t.co/6li9eI9KdD",General
"@GreggsOfficial @763480 Also, do @GreggsOfficial sausage rolls contain any chemicals? Can you please send me a link for the ingredients? 
""The percentage of meat in sausage rolls is often even lower than in burgers and there may be more chemical additives""
Read more: https://t.co/vfg8apxcWP",General
"@JetBlue first time I had my flights cancelled, rebooked, and lose my even more speed / space seats and no refund on difference of? #NYCC",Refund/Cancellation
"@LondonMidland I'm trying to book a train online, but each time I check out it changes from collect at station (which I want) to Eticket",Technical Issues
@SW_Help why is the 9.39 from Hersham to Waterloo late? When will we move?,General
@sprintcare @802101 YOU BETTER FUCKING LOOK INTO IT,General
@61963 @ATVIAssist ITS OUT?!,General
"@AmazonHelp I suppose by email: ""Please respond to this message at your earliest convenience and provide us with..."". Guess it is respond by email",General
@Tesco very disappointed to find my moussaka was actually a macaroni cheese. 🤔 https://t.co/o3aEnka1tp,Technical Issues
@116035 SOS HOW CAN I FREEZE MY CREDIT CARD ON https://t.co/fSplTss3Ws,Billing
@115873 you should have an email contact to facilitate sharing of experience in other cases to improve service quality especially drivers and their behavior. You charge if we cancel trip why not the driver charged if he refuses after accepting.,Refund/Cancellation
@AskPlayStation when i open the link without signing in my account it works but when i sign in and open the link it says unable to find this page.,Account Issues
@AmazonHelp Thanks for the reply though,General
@AskPlayStation I’m only logged in on my laptop currently and can’t stream on my phone because of this issue,Technical Issues
@VerizonSupport I cannot log on to pay a bill. No one can fix it for the last 4 months. Over it. It’s just a bill.,Technical Issues
"@SpotifyCares I was asked earlier to sign in again as my '3 month trial period' was up and if I wanted to upgrade to premium...???..I subscribe and pay for premium via my mobile provider, so was wondering if there was a known issue..??",Account Issues
"@VerizonSupport Oh, I got it. So the service will be restored yesterday at 10:15 pm. That makes so much sense. You are useless.",Technical Issues
@15261 @115955 Bastards 😠,General
@TfL Hello?,General
Tell me why I️ just got charged double meat @ChipotleTweets when the second scoop was like 1/5 the size of a normal serving #blown,Billing
"@hulu_support everytime i’ve tried to get into my account for the last few weeks this has happened. i’ve deleted the app, relogged in etc https://t.co/i8YdTsvEcv",Account Issues
"@117086 Oi, boa noite. Ontem eu comprei um livro e sem querer comprei de novo, mas não foi contabilizado, hoje paguei mais caro.",General
@VerizonSupport They are all IDIOTS!!! FIOS SUCKS,General
@AppleSupport It’s acting... fucky,General
@115900 what is up with xfinity on demand??? Its not showing shows that should be on demand already &amp; its also only giving us the option...,Technical Issues
@AmazonHelp Cool. I have cancelled my order. I am afraid transaction do work that way also.,Refund/Cancellation
@115714 your sales rep just hung up on me while upgrading my phone. This is terrible service for someone trying to stay with you. Is there a way to call a supervisor directly? #furious,Technical Issues
"@115879 @AskLyft Is there any way to get your app to stop asking this every time I request a ride? If there isn’t, I’m going to stop using your service. I don’t want to use notifications. https://t.co/7zxe7g7rzT",Technical Issues
@sainsburys @2094  I feel like you’ve underfilled my bottles #nightruined https://t.co/YAZgwHFilk,General
"@AskeBay @115937 should protect the transaction. First Hurricane Harvey, now this. Why won’t @115937 make it right?",Billing
@British_Airways i am so fuming with your company! i have tried to resolve this issue myself with your teams and am getting no where! All I want is a receipt,Technical Issues
@ATVIAssist I have but still have no reply off you,General
@USCellularCares Would that be the problem? This wasn't told to me when I ordered it,Delivery
"@115913 Great job! But you guys messed up my phone number! Please escalate and fix, asap.",Technical Issues
@AmazonHelp It's going to cost me £42 to return this faulty item. Are you going to cover this?,Refund/Cancellation
"I will never understand why on pack @VirginTrains services, they choose a heating setting close to the temperature of the sun. Body heat warms too!",Technical Issues
Why y’all still got my shit tweakin? @115858,General
"@AmazonHelp Je pense , Ça a juste étais stipuler sur ma commande https://t.co/iarLWvqyfJ",General
@sprintcare https://t.co/aeSDvO2MNo,General
@XboxSupport I end up the error code 0x80a30204. It tried the hard reboot. It not working. My gamertag is Dakrkplayer2.,Technical Issues
@115888 Ya eski üyeler ?,General
"This last week has been a nightmare thanks to @115830 who it appears had a system glitch! 

My bank account had £400+ deducted from it for an item I merely LOOKED at!!😱😱😱 Not great just before Christmas. 

Anyone else had this???
#Amazon #nightmare #itwasntme",Account Issues
"@AmazonHelp Ya cheque eso y nada,deberia de haber un telefono de sus mensajeros para saber quien lo tiene,porque no dice quien ""lo recibió""?",General
Estamos no mesmo barco RT @640698: @AzureSupport any information about the Brazil South datacenter?,General
@115993 why is my PayPal negative?,Billing
@AppleSupport what’s going on with my Apple Music?!!! What day of the month do u guys take the 9.99,Billing
@AmazonHelp 2/x Die Gutschrift ist jetzt aber da. Was passiert denn nun? Ich würde es gerne behalten.,Technical Issues
"@sainsburys No it wasn't, it was a technical glitch, was able to book this morning but thanks for not looking into it.",Technical Issues
@DellCares I had hoped.  But no.  I am so disappointed in this warranty situation. Loyal Dell users for years.,Technical Issues
"@McDonalds Thanks For The Best Coffee #Dallas,Tx https://t.co/rVbQ7rr7pQ",General
@115940 why do I pay extra to not see commercials and yet I was just forced to watch one before agents of shield?,General
"Die Kombination #FIFA18 und @116316 #Echo ist blöd. 
Alexa fühlt sich dauernd vom Kommentator angesprochen… 🙈",General
@SpotifyCares @115888 @SpotifyCares,General
@AmazonHelp Just did and it's working now! Thanks!,General
Another Cayman sunset 🌅 #nofilter  #grandcayman #sunset @ Kimpton Seafire Resort + Spa https://t.co/zytmXE8zom,General
あまぞんはクレカ払いしか使ったこと無かったけど、Suicaでも支払いができるらしいということで今朝ほどSuica払いを選んでみたわけですが、30分立ったら「別途支払い手続きのためのメールが来る」らしいけど、お昼になった今も、まだ来ない。,General
@XboxSupport fix this!!!!!!!!!!!!! https://t.co/hWgBzh0bp8,Technical Issues
"@AmericanAir so on the flight back from LAX to PHL, now there are no: outlets, entertainment center or FOOD????",General
@116928 hola buenas necesito una consulta,General
"@AppleSupport my macbook's laptop keyboard and trackpad are unresponsive, is there any way this problem can be solved?",Technical Issues
Help @115873 please contact me,General
Thank you staff at @AmericanAir and @122128 for making TSAprecheck and everything a breeze! More time to relax!🍷✈️,General
@115888 @SpotifyCares how do I search? The tab keeps disappearing. https://t.co/F3E8iDMadX,General
"@Postmates_Help  hey you're delivery service is taking much much longer than your app says, I've ordered my food an hour ago and .....",Delivery
"@comcastcares I figured it out, just a bill issue.",Technical Issues
@SpotifyCares No that's answered it perfectly. Cheers🖒,General
@AskTigogh can I use any Sim on it,Technical Issues
@TMobileHelp DM sent,General
Some of this backlash over @SouthwestAir live music is ridiculous...people will find a way to get outraged over anything!,Technical Issues
I just got jam doughnut from @Morrisons and they had no jam inside 😭 and it said jam doughnuts on the packed,General
@166371 I used @MOO. I've used them in the past and they've always turned out great. I just had to rush the design on these ones!,General
"You should repair my mac book MacBook Pro (17-inch, Early 2011)
@AppleSupport",Technical Issues
@AppleSupport I just bought your macbook air and its sucks,Technical Issues
@Safaricom_Care I don't have home internet since lastnight_what is the issue?:my account number is 11023305,Account Issues
@AppleSupport fix this glitch i’m tired of this “ i️ “ shit,Technical Issues
So twitter keeps telling me it load tweets 🙄 &amp; I thought I fixed the problem when I log out &amp; back in but it still goes back to the problem,Account Issues
"@SpotifyCares @SpotifyCares sorry to bother you again, but i still don’t have access to the song",Account Issues
How do you “discontinue” corn tortillas? Might have to hop off the #Chipotle bandwagon for good @ChipotleTweets,General
@VerizonSupport Already had that with the multiple phone calls I've made and nearly 2 hrs of my life I want get back.,Technical Issues
"Hello @115858 
My iphone 6s battery is draining very fast even on stand by.
I have the latet ios 11.1 running in the phone.
Can you help me?",General
@AppleSupport i though iOS 11.0.3 should fix bugs? I never received issues until now!! Fix it!!,Technical Issues
Thank you to #GinaRubino at @Delta Airlines for her caring and helpfulness. So very appreciated and will never be forgotten. Great airline.😁,General
"Oh @JetBlue, how I️ love Ricardo Lead at @133384! He totally made my day and it’s HIS birthday! I’m so grateful for the nice customer service you offer!!",Billing
@TMobileHelp just got my v30 and loving it but the headphone jack won't allow the headphone to go all the way in the jack,General
@115911 advertises great coverage in Namibia but no cellular partners. False advertising!,General
"@SouthwestAir How come you don't fly between SAN &amp; LAX? A while back, I read it would start May 2017. Haven't found any updates, since.",Technical Issues
@115830 Annoyed -ordered this morning with arrival date of tomorrow. Now receive email saying it's Wednesday. I won't be there on Wednesday. Grr! It's either Prime or not Prime. Not nearly Prime. 2nd time this has happened.,Delivery
"@British_Airways I just booked my flight, with another company. After years with you I felt the quality of your flights dropped dramatically",Technical Issues
"@sainsburys It tops all other adverts in my opinion. It's honest, current and real people. Bravo 👌",General
I️ understand flight delays happen but it would be nice if @SouthwestAir would provide an update. Still says on time &amp; it’s already late.,Technical Issues
@AmericanAir We sent in our compensation reply email on October 24th and haven’t heard anything back. We don’t even know if it was received.,Refund/Cancellation
I can’t watch @118134 tonight because my @115900 internet has been out since last night and they keep pushing the resolution time.,Technical Issues
"@115873 just lost a customer, I'll be taking @115879 next time.  Driver tried to overcharge me $100, I have to wait 3 days to get that $ back and he's still getting paid for the ride.  Full refund was warranted in this situation and Uber failed to do the right thing. https://t.co/7UvP6nfOlF",Refund/Cancellation
@AskPapaJohns Email me not putting out on tweeter,General
"@Postmates_Help Will do, thanks",General
@116216 hay algún problema con la red? Estoy tratando de canjear un código de ps plus y está siendo rechazado,General
@AskPlayStation I'm unable to reset my password. Can you help me?,Account Issues
"@GWRHelp Here’s a photo, there’s a chance I’ll be leaving my on the hour earlier train. But not sure yet. https://t.co/Q7xhyYaj4V",General
"@AlaskaAir GREAT! Thanks! I have two codes: 
For Alaska Airlines I have IMVAGH; and for American Airlines it's MLEIMT",General
"@AmazonHelp It is delivered now, thanks.",Delivery
@AmazonHelp Hi - just tried to order something yet it says my account does not exist,Delivery
"@Uber_Support do you have uber services in East London, Eastern Cape, South Africa?",Delivery
